Temperature,RH,Ws,Rain,FFMC,DMC,DC,ISI,BUI,FWI,Month,Region,Classes
39.3,25,17.6,0.51,89.5,71.9,285.7,14.7,69.3,60.0,8,Bejaia,fire
30.9,65,12.1,0.27,84.6,28.7,262.4,14.9,42.9,60.0,8,Sidi Bel-Abbes,fire
32.3,43,14.9,0.51,96.0,54.4,335.5,15.0,54.8,60.0,8,Sidi Bel-Abbes,fire
24.9,65,25.7,0.77,92.6,13.8,266.0,19.2,34.3,60.0,8,Sidi Bel-Abbes,not fire
29.3,41,23.6,0.06,86.1,43.6,289.2,16.6,54.1,60.0,6,Sidi Bel-Abbes,fire
32.6,23,17.2,0.26,96.0,43.7,237.4,17.4,53.2,60.0,8,Bejaia,fire
26.2,26,15.2,0.92,93.1,39.4,177.6,14.9,41.9,60.0,8,Sidi Bel-Abbes,fire
33.9,56,15.6,0.24,89.6,38.1,314.7,13.4,54.3,60.0,6,Bejaia,fire
29.0,60,18.1,0.42,96.0,30.4,284.5,19.6,44.0,60.0,7,Bejaia,fire
30.5,39,9.9,0.44,86.1,38.0,321.9,13.4,53.1,60.0,6,Bejaia,fire
29.0,66,13.7,0.1,85.8,23.4,213.7,13.8,39.3,58.0,7,Sidi Bel-Abbes,fire
41.3,25,6.7,0.22,96.0,78.2,292.6,9.0,61.7,55.0,6,Bejaia,fire
31.9,54,17.0,0.2,95.3,32.6,175.7,12.0,32.1,37.7,7,Bejaia,fire
26.7,33,18.2,0.01,93.9,20.8,213.8,15.4,27.9,44.6,8,Sidi Bel-Abbes,fire
36.1,43,12.6,0.01,96.0,68.1,330.3,13.7,69.0,60.0,8,Sidi Bel-Abbes,fire
25.9,56,22.9,0.89,84.2,37.7,197.2,14.1,44.7,60.0,8,Sidi Bel-Abbes,fire
33.0,40,8.9,0.16,96.0,33.4,295.7,12.5,43.3,55.9,9,Bejaia,fire
22.2,48,7.7,0.36,85.0,27.3,197.8,14.0,21.5,32.0,7,Sidi Bel-Abbes,not fire
25.4,73,16.1,0.18,83.9,9.1,241.2,14.6,26.6,33.1,6,Bejaia,not fire
33.0,45,20.2,1.41,91.3,46.3,193.4,12.9,47.1,58.5,9,Bejaia,fire
35.7,70,23.4,0.15,88.7,39.3,281.2,15.7,50.5,60.0,6,Sidi Bel-Abbes,fire
32.9,35,12.7,0.28,95.9,46.0,111.9,11.8,36.4,43.2,9,Bejaia,fire
31.4,65,20.4,1.03,92.0,22.7,237.5,14.5,33.7,50.5,9,Bejaia,not fire
30.5,81,14.8,0.92,80.7,13.6,161.7,11.7,16.6,23.9,8,Bejaia,fire
24.6,20,14.1,0.1,87.4,30.1,282.3,12.0,45.8,53.7,9,Bejaia,fire
28.4,41,19.4,0.81,96.0,28.2,272.8,12.9,37.2,46.5,6,Sidi Bel-Abbes,fire
29.7,65,18.3,0.31,80.7,26.0,268.8,13.3,50.8,60.0,7,Bejaia,fire
37.3,51,7.1,0.33,90.0,41.7,359.2,10.0,59.6,60.0,8,Sidi Bel-Abbes,fire
33.7,62,22.4,0.07,85.4,43.4,220.4,9.4,40.8,42.2,7,Bejaia,fire
23.2,44,21.9,0.04,95.2,39.2,302.9,20.0,46.8,60.0,9,Bejaia,not fire
33.6,57,11.9,0.65,79.2,33.2,308.2,13.7,46.9,60.0,6,Sidi Bel-Abbes,fire
30.1,52,17.0,0.34,96.0,36.4,235.1,13.9,40.5,52.5,8,Bejaia,fire
28.6,76,17.5,0.29,86.8,24.2,297.0,14.0,47.4,60.0,8,Bejaia,fire
35.1,60,16.3,0.65,90.8,45.0,213.4,11.6,44.8,54.1,8,Bejaia,fire
37.2,61,12.2,0.73,90.0,44.5,237.3,16.1,42.3,60.0,7,Bejaia,fire
36.7,48,11.6,0.09,95.5,56.9,252.0,16.8,63.1,60.0,7,Bejaia,fire
27.8,46,14.9,0.47,92.6,37.3,207.9,14.0,39.7,58.3,9,Bejaia,fire
30.5,47,20.9,0.07,94.3,24.9,198.7,17.7,36.2,60.0,6,Sidi Bel-Abbes,fire
33.7,62,17.7,0.7,91.0,45.0,322.5,14.8,51.7,60.0,9,Sidi Bel-Abbes,fire
36.9,47,13.1,0.53,94.7,58.9,266.1,10.7,57.9,58.7,8,Sidi Bel-Abbes,fire
29.6,60,18.9,1.57,85.8,21.5,250.0,13.4,37.3,52.5,8,Bejaia,fire
31.1,92,5.0,0.04,77.1,16.3,226.5,9.5,21.4,21.5,8,Bejaia,not fire
26.5,71,20.7,0.03,81.1,24.4,141.0,13.4,36.4,49.2,7,Bejaia,fire
26.0,49,6.3,0.17,93.9,25.4,241.9,10.8,43.3,48.2,8,Sidi Bel-Abbes,fire
36.1,77,13.2,0.15,88.0,44.5,183.2,12.6,38.6,49.5,9,Bejaia,fire
38.8,48,9.4,0.14,80.4,77.4,289.1,10.7,62.1,60.0,7,Sidi Bel-Abbes,fire
31.6,20,8.5,1.18,96.0,45.4,177.9,12.3,42.2,55.7,9,Bejaia,fire
37.0,37,20.8,0.14,96.0,41.8,383.0,13.7,59.6,60.0,7,Bejaia,fire
33.8,21,12.7,0.16,96.0,60.0,313.0,12.0,63.1,60.0,6,Bejaia,fire
28.8,49,16.7,0.71,87.8,40.4,242.0,11.2,45.4,52.5,7,Sidi Bel-Abbes,fire
33.8,55,14.8,0.3,95.9,37.6,329.2,16.0,54.3,60.0,9,Bejaia,fire
39.7,85,17.4,0.75,89.0,51.3,248.6,9.9,57.8,59.5,7,Sidi Bel-Abbes,fire
31.8,61,15.4,0.03,83.8,19.8,285.9,15.3,41.3,59.1,9,Bejaia,fire
39.8,51,8.6,0.33,96.0,61.0,305.8,14.9,55.9,60.0,9,Bejaia,fire
22.0,70,20.0,0.02,75.2,3.0,223.0,12.9,30.6,35.9,7,Sidi Bel-Abbes,not fire
36.1,20,12.5,0.03,95.2,79.4,343.8,8.1,82.3,60.0,6,Bejaia,fire
32.4,59,7.2,1.18,85.3,55.2,287.0,10.0,72.0,60.0,8,Bejaia,fire
30.5,69,12.9,0.07,88.9,18.9,266.2,12.6,30.5,40.1,7,Bejaia,not fire
32.5,28,22.5,0.38,96.0,45.2,175.7,14.3,41.4,59.2,8,Bejaia,fire
22.1,76,19.3,0.26,80.9,14.9,159.7,12.8,13.0,11.9,7,Sidi Bel-Abbes,not fire
30.9,61,13.3,0.21,90.7,27.4,246.2,16.1,41.1,60.0,7,Sidi Bel-Abbes,fire
33.8,48,13.3,1.15,95.2,43.4,262.1,14.8,45.1,60.0,8,Bejaia,fire
39.4,66,13.4,0.01,86.6,45.8,240.3,10.8,56.6,60.0,7,Bejaia,fire
29.4,96,25.4,0.55,78.1,1.0,362.2,12.2,32.8,40.2,7,Sidi Bel-Abbes,not fire
28.0,58,16.9,1.65,90.5,26.6,299.1,13.5,34.8,48.0,7,Bejaia,fire
29.5,59,17.2,0.41,90.7,22.4,273.5,13.8,36.2,47.0,7,Sidi Bel-Abbes,fire
36.6,47,20.2,1.38,96.0,44.9,272.7,16.6,39.8,60.0,8,Bejaia,fire
33.6,40,16.2,0.03,96.0,61.9,257.3,13.4,60.4,60.0,9,Sidi Bel-Abbes,fire
29.4,70,13.7,0.27,85.4,11.2,196.4,13.7,14.9,23.0,7,Sidi Bel-Abbes,fire
34.6,40,14.0,0.15,96.0,57.5,275.2,17.7,56.4,60.0,8,Sidi Bel-Abbes,fire
32.5,56,14.6,0.66,89.2,34.0,268.8,14.9,33.5,47.7,8,Sidi Bel-Abbes,fire
36.8,46,14.8,1.99,90.1,47.7,202.2,13.4,42.5,60.0,7,Bejaia,not fire
28.5,64,18.6,0.15,84.3,33.1,257.7,13.7,50.5,60.0,7,Bejaia,fire
30.4,61,15.3,0.53,83.2,33.6,238.7,12.2,42.5,48.2,9,Sidi Bel-Abbes,fire
30.0,74,18.7,0.11,79.5,28.9,153.7,15.9,25.5,37.7,8,Sidi Bel-Abbes,not fire
24.7,46,14.6,0.42,87.9,36.1,176.2,11.9,35.5,38.3,8,Sidi Bel-Abbes,not fire
33.5,50,15.4,0.31,87.7,38.6,243.6,13.5,43.7,54.2,8,Sidi Bel-Abbes,fire
33.3,37,5.0,1.79,93.9,41.8,343.0,11.0,57.6,60.0,6,Bejaia,fire
32.0,47,19.6,0.47,82.4,29.7,283.3,13.1,36.3,47.0,8,Sidi Bel-Abbes,fire
30.8,62,16.7,0.22,87.9,22.5,185.2,11.1,32.7,37.4,8,Sidi Bel-Abbes,not fire
24.9,69,20.0,0.06,81.9,45.0,248.3,14.8,33.8,52.2,8,Sidi Bel-Abbes,fire
29.9,38,5.0,0.08,89.3,53.0,171.3,10.3,40.5,42.6,7,Sidi Bel-Abbes,fire
30.3,71,25.4,0.13,87.2,11.7,304.3,17.4,33.9,60.0,6,Sidi Bel-Abbes,fire
28.0,79,14.3,0.14,84.9,3.1,214.9,11.7,26.2,30.5,6,Sidi Bel-Abbes,not fire
31.2,62,20.5,0.95,78.8,36.0,241.8,16.5,42.3,60.0,9,Sidi Bel-Abbes,fire
34.0,89,9.8,0.41,76.6,29.1,332.3,8.8,40.8,39.2,7,Bejaia,not fire
41.4,41,18.1,0.37,94.5,67.8,239.1,18.3,52.9,60.0,7,Sidi Bel-Abbes,fire
32.9,33,9.7,0.06,92.0,46.9,193.9,8.6,43.8,35.0,6,Sidi Bel-Abbes,fire
33.3,23,11.9,0.98,96.0,53.8,227.4,14.0,49.3,60.0,6,Sidi Bel-Abbes,fire
31.6,82,24.6,0.64,80.3,25.6,303.6,16.3,40.3,60.0,8,Bejaia,fire
22.4,67,14.0,0.04,79.8,12.3,135.7,10.6,17.3,17.1,8,Bejaia,not fire
31.9,54,16.1,0.62,79.7,14.5,111.6,13.6,21.9,30.9,8,Bejaia,not fire
32.3,60,19.4,0.39,91.3,32.3,235.0,17.5,37.1,60.0,7,Sidi Bel-Abbes,fire
42.0,35,17.5,0.04,94.4,58.1,337.2,10.2,62.3,60.0,8,Sidi Bel-Abbes,fire
31.0,99,15.8,0.31,76.1,14.3,312.1,13.3,49.2,60.0,6,Sidi Bel-Abbes,fire
33.5,57,16.8,0.33,90.9,68.2,241.1,9.2,51.1,50.0,6,Bejaia,fire
31.8,57,27.0,0.09,95.6,38.8,237.7,15.7,33.9,54.9,7,Sidi Bel-Abbes,fire
26.2,68,14.7,1.46,76.1,15.1,273.9,15.3,38.9,60.0,7,Bejaia,fire
37.7,64,16.0,0.95,74.7,52.8,185.6,11.1,41.6,49.7,7,Bejaia,fire
35.8,59,20.3,0.55,91.1,46.8,253.8,12.8,47.2,60.0,8,Bejaia,not fire
36.0,41,20.5,0.31,96.0,55.7,286.2,15.4,52.6,60.0,8,Bejaia,fire
27.5,63,20.9,0.27,90.9,29.2,257.1,19.5,39.0,60.0,9,Bejaia,fire
39.0,89,18.2,0.53,83.9,54.2,264.3,10.2,61.5,60.0,7,Sidi Bel-Abbes,fire
25.0,79,9.3,0.39,76.3,1.0,222.7,8.3,26.8,20.6,6,Sidi Bel-Abbes,not fire
34.9,84,23.2,0.03,86.4,32.8,149.9,18.6,35.7,60.0,7,Bejaia,fire
42.0,46,9.3,0.36,92.4,51.8,273.5,15.7,46.2,60.0,9,Sidi Bel-Abbes,fire
27.0,37,16.5,0.82,94.7,41.1,249.7,14.2,39.7,58.0,8,Sidi Bel-Abbes,fire
29.2,53,11.2,0.31,91.3,22.8,193.7,10.0,16.6,14.0,8,Bejaia,not fire
32.5,56,14.7,0.03,94.7,32.8,265.2,18.1,38.9,60.0,6,Bejaia,fire
29.5,75,16.6,0.77,96.0,18.7,262.0,17.8,40.3,60.0,8,Sidi Bel-Abbes,fire
24.2,25,16.6,0.11,96.0,46.0,203.0,15.9,45.9,60.0,6,Sidi Bel-Abbes,fire
32.3,83,17.1,0.15,78.9,32.6,268.7,11.4,42.1,47.0,8,Sidi Bel-Abbes,fire
26.7,52,23.1,0.09,87.6,14.8,184.4,15.6,25.8,39.5,9,Sidi Bel-Abbes,not fire
34.4,47,17.3,0.2,84.1,45.6,259.5,13.3,45.3,60.0,9,Bejaia,fire
27.4,37,13.8,0.71,89.2,29.3,260.5,13.7,41.7,54.1,8,Sidi Bel-Abbes,fire
39.7,25,19.8,0.37,96.0,54.3,302.9,18.4,61.3,60.0,7,Bejaia,fire
28.1,70,20.9,0.11,80.5,19.1,209.9,16.1,22.5,30.7,9,Bejaia,not fire
30.4,56,8.9,1.05,89.1,29.5,252.6,9.4,41.5,37.3,8,Sidi Bel-Abbes,fire
36.1,32,18.0,1.06,94.4,80.5,305.5,17.6,75.5,60.0,6,Sidi Bel-Abbes,fire
25.8,32,18.5,1.02,96.0,40.2,116.5,15.8,29.7,48.6,7,Sidi Bel-Abbes,fire
33.1,49,13.5,0.14,91.9,28.0,322.3,14.6,49.7,60.0,7,Bejaia,fire
38.5,85,21.9,0.3,83.7,28.9,272.9,17.9,55.8,60.0,7,Bejaia,fire
24.0,50,14.2,2.1,85.2,33.0,220.1,10.6,38.0,41.4,7,Bejaia,not fire
32.9,28,15.6,0.74,96.0,72.8,317.1,14.2,70.1,60.0,8,Bejaia,fire
33.3,51,14.1,0.01,95.6,25.5,197.8,12.7,28.8,40.9,7,Sidi Bel-Abbes,fire
35.9,50,15.1,0.03,88.6,28.0,243.7,10.2,39.3,42.8,6,Bejaia,fire
25.8,20,9.5,0.31,93.6,60.3,211.5,12.9,53.6,60.0,8,Bejaia,not fire
25.4,54,7.8,1.2,85.0,27.7,175.8,15.9,32.4,48.5,9,Sidi Bel-Abbes,fire
34.6,51,23.0,0.39,85.3,35.1,355.9,11.7,48.1,56.2,8,Bejaia,fire
33.5,68,10.8,0.34,82.4,38.6,221.1,11.4,42.4,47.5,7,Bejaia,not fire
33.3,88,10.0,0.06,77.8,1.0,237.9,12.1,31.6,35.1,9,Sidi Bel-Abbes,not fire
33.7,75,5.0,0.53,88.7,29.9,273.5,10.6,44.5,48.3,9,Bejaia,fire
28.6,50,11.8,0.86,90.6,35.4,174.3,12.4,39.9,47.8,7,Bejaia,fire
33.2,35,8.4,0.24,96.0,58.0,243.6,9.5,52.2,51.6,6,Bejaia,fire
33.5,100,23.2,0.75,81.0,6.8,275.7,15.5,34.7,50.7,8,Bejaia,fire
28.4,56,20.0,1.67,86.7,29.7,208.8,13.2,37.1,54.0,9,Sidi Bel-Abbes,fire
41.3,55,11.6,0.11,96.0,45.8,300.8,8.7,48.2,39.2,9,Bejaia,fire
34.4,55,26.3,0.37,90.3,44.0,241.7,19.3,47.8,60.0,9,Sidi Bel-Abbes,fire
26.0,59,19.9,0.17,86.8,13.9,152.8,16.6,17.2,30.9,8,Bejaia,not fire
35.3,52,13.4,0.79,89.0,40.3,284.6,13.0,45.4,57.4,8,Sidi Bel-Abbes,fire
27.1,45,5.0,0.43,78.0,22.0,319.1,9.8,43.8,45.3,6,Sidi Bel-Abbes,fire
35.9,45,26.5,0.5,93.7,55.8,275.6,19.5,56.9,60.0,7,Sidi Bel-Abbes,fire
37.8,54,8.1,0.8,96.0,57.0,292.2,12.5,51.8,60.0,7,Bejaia,fire
27.9,45,6.8,0.25,95.0,30.8,271.6,13.3,47.8,60.0,8,Bejaia,fire
36.8,42,20.1,1.23,96.0,52.9,208.3,15.0,50.2,60.0,8,Bejaia,fire
34.1,57,27.2,0.38,96.0,25.2,351.6,20.0,44.2,60.0,8,Sidi Bel-Abbes,fire
36.1,50,21.9,0.09,93.4,44.0,289.8,16.6,43.3,60.0,7,Bejaia,fire
41.5,82,17.8,0.6,87.1,41.4,383.1,14.4,58.3,60.0,8,Bejaia,fire
30.8,20,18.0,0.79,96.0,77.8,209.3,12.5,57.6,60.0,6,Bejaia,fire
28.2,75,19.3,0.19,80.1,8.0,330.2,14.4,37.6,53.3,7,Bejaia,not fire
27.6,77,18.8,0.97,83.6,31.0,266.8,12.3,40.4,46.3,8,Sidi Bel-Abbes,fire
27.9,20,16.4,1.18,96.0,55.8,255.4,13.2,43.4,60.0,8,Sidi Bel-Abbes,fire
31.6,49,15.5,0.16,90.5,41.6,268.2,12.1,45.7,53.4,9,Bejaia,not fire
33.7,48,14.7,2.05,90.1,60.8,235.6,11.3,52.4,60.0,7,Bejaia,fire
33.4,30,11.2,0.08,96.0,55.7,326.2,17.2,63.6,60.0,7,Bejaia,fire
36.1,41,13.6,0.11,96.0,55.7,286.6,16.3,53.0,60.0,7,Sidi Bel-Abbes,fire
32.1,35,6.5,0.1,88.3,46.1,161.0,14.6,47.5,60.0,7,Bejaia,fire
39.3,87,14.5,1.12,72.2,47.5,229.3,9.1,37.1,36.2,9,Sidi Bel-Abbes,fire
30.7,72,10.1,0.53,81.0,36.4,238.8,11.3,48.6,54.2,8,Sidi Bel-Abbes,not fire
42.0,78,9.5,0.08,81.5,38.8,324.7,8.4,50.7,46.3,9,Bejaia,fire
35.1,68,15.9,0.29,84.6,23.1,269.9,11.8,42.8,53.8,7,Bejaia,fire
27.7,35,22.0,0.48,92.7,36.1,294.7,14.0,47.9,60.0,9,Bejaia,fire
26.6,46,19.6,0.04,87.4,22.5,135.2,17.1,30.5,50.7,6,Sidi Bel-Abbes,fire
34.4,64,7.1,1.07,95.3,36.3,268.5,10.9,43.1,43.6,9,Sidi Bel-Abbes,fire
30.9,33,10.1,0.81,96.0,57.6,155.4,14.8,38.9,55.5,7,Bejaia,fire
35.6,68,19.7,0.35,88.9,32.7,312.3,16.0,54.7,60.0,7,Sidi Bel-Abbes,fire
34.4,51,10.1,1.71,95.1,43.0,250.0,17.1,45.9,60.0,8,Bejaia,fire
31.6,48,13.9,0.27,85.6,39.7,276.5,9.8,48.6,41.0,9,Bejaia,fire
27.8,68,17.8,2.07,88.7,30.1,174.9,16.7,38.7,60.0,6,Sidi Bel-Abbes,not fire
24.4,63,10.2,0.55,82.9,1.0,280.6,13.6,23.4,32.4,7,Sidi Bel-Abbes,not fire
29.8,49,15.5,0.5,93.7,29.2,295.9,12.1,47.2,56.2,9,Sidi Bel-Abbes,fire
36.3,76,8.3,0.09,80.0,36.7,309.7,12.5,46.4,60.0,7,Sidi Bel-Abbes,fire
33.1,36,12.0,1.07,88.1,60.4,248.2,13.1,54.3,60.0,6,Bejaia,fire
25.8,66,16.6,0.28,87.1,13.6,255.1,13.2,32.7,47.2,7,Bejaia,not fire
32.9,66,7.0,0.09,88.6,14.1,228.1,9.3,22.4,20.2,7,Bejaia,not fire
33.9,49,17.2,0.01,87.6,49.3,312.3,12.5,52.0,60.0,9,Sidi Bel-Abbes,fire
27.6,61,14.9,0.41,81.2,18.4,316.3,16.7,47.6,60.0,8,Bejaia,fire
32.8,32,17.8,0.37,96.0,37.4,313.6,14.9,54.5,60.0,8,Sidi Bel-Abbes,fire
32.3,72,16.1,0.64,78.7,22.5,218.6,14.3,32.8,43.5,9,Sidi Bel-Abbes,fire
26.3,52,21.8,1.1,95.9,24.9,238.4,14.5,37.5,53.8,7,Sidi Bel-Abbes,fire
33.8,46,15.6,0.04,88.7,38.7,203.9,12.0,38.3,44.9,6,Bejaia,fire
34.8,74,12.9,0.66,88.4,10.6,296.1,14.9,41.7,60.0,7,Sidi Bel-Abbes,fire
37.4,42,15.6,0.1,94.4,62.6,308.6,11.4,61.2,60.0,7,Sidi Bel-Abbes,fire
37.3,30,17.7,0.98,96.0,72.5,183.1,14.1,55.7,60.0,6,Sidi Bel-Abbes,fire
25.1,27,15.2,0.85,91.7,43.2,158.9,13.8,43.2,60.0,9,Sidi Bel-Abbes,fire
27.3,66,15.2,0.39,83.1,10.3,218.5,13.1,23.1,24.2,8,Sidi Bel-Abbes,not fire
34.6,32,11.5,0.62,96.0,51.2,251.6,12.7,58.5,60.0,7,Sidi Bel-Abbes,fire
34.6,87,11.7,0.19,76.3,25.8,210.5,11.9,26.3,29.8,8,Sidi Bel-Abbes,not fire
34.6,20,8.0,0.32,96.0,65.1,289.1,13.4,69.6,60.0,8,Sidi Bel-Abbes,fire
42.0,86,23.7,0.86,82.8,47.9,314.0,16.9,53.5,60.0,9,Sidi Bel-Abbes,fire
34.9,59,8.8,0.31,88.6,33.0,261.5,9.5,41.4,42.9,9,Sidi Bel-Abbes,fire
37.7,53,11.5,0.22,87.9,49.5,248.4,11.7,40.2,38.4,8,Sidi Bel-Abbes,fire
36.8,45,11.4,0.34,82.0,55.5,332.9,14.0,58.8,60.0,8,Sidi Bel-Abbes,fire
35.3,62,19.5,0.88,88.0,54.0,350.2,16.4,56.8,60.0,8,Bejaia,fire
30.4,54,13.5,0.2,96.0,40.7,225.9,10.9,39.9,42.2,8,Bejaia,fire
35.8,75,21.2,0.1,89.4,42.1,247.4,16.0,45.1,60.0,6,Sidi Bel-Abbes,fire
28.1,57,11.6,0.62,86.9,28.6,259.0,8.2,45.0,34.3,6,Sidi Bel-Abbes,fire
30.8,58,16.4,0.87,86.8,46.9,227.4,13.7,47.2,60.0,8,Sidi Bel-Abbes,fire
29.6,48,10.8,0.05,90.4,39.0,240.4,16.1,45.1,60.0,7,Bejaia,fire
32.4,54,25.7,0.14,92.7,29.2,297.7,15.1,38.9,60.0,6,Bejaia,fire
42.0,61,9.1,0.08,86.9,67.8,213.8,9.7,50.9,47.5,8,Bejaia,fire
22.7,24,16.5,0.21,96.0,40.2,277.1,16.1,56.8,60.0,6,Sidi Bel-Abbes,fire
35.4,31,18.2,0.3,96.0,51.1,277.8,12.0,49.6,60.0,8,Sidi Bel-Abbes,fire
23.9,68,17.1,0.69,85.0,8.9,192.2,12.4,31.9,40.8,8,Sidi Bel-Abbes,not fire
29.6,58,14.1,0.53,89.6,33.2,238.5,14.4,39.2,51.8,9,Sidi Bel-Abbes,fire
37.4,52,14.4,0.49,93.3,53.7,280.5,12.4,54.9,60.0,7,Bejaia,fire
32.3,55,15.2,0.22,92.9,38.9,172.9,13.4,42.1,57.5,6,Sidi Bel-Abbes,fire
26.6,61,14.3,0.92,87.9,25.7,298.6,14.6,49.1,60.0,8,Bejaia,not fire
28.4,45,19.8,0.32,88.9,51.2,241.0,15.7,49.1,60.0,9,Bejaia,fire
35.4,41,26.1,1.93,92.5,61.0,279.8,17.6,56.5,60.0,9,Sidi Bel-Abbes,fire
28.3,59,12.2,0.5,87.1,29.3,284.3,11.7,42.8,51.7,7,Bejaia,not fire
33.1,37,8.2,0.07,96.0,56.9,213.7,12.8,51.5,60.0,7,Bejaia,fire
32.2,62,14.6,0.56,81.2,23.0,279.2,12.2,43.9,47.6,9,Bejaia,fire
28.7,24,27.9,0.2,89.7,49.3,228.4,18.3,47.5,60.0,6,Bejaia,fire
42.0,74,11.0,0.58,89.8,65.3,346.5,11.3,70.4,60.0,8,Sidi Bel-Abbes,fire
35.2,64,23.2,0.04,88.8,36.4,169.1,15.5,43.3,60.0,7,Sidi Bel-Abbes,fire
22.0,60,23.4,0.1,84.0,5.7,204.1,13.4,25.2,33.1,6,Bejaia,fire
32.9,73,12.2,0.97,85.9,23.0,224.8,12.2,35.5,47.5,7,Sidi Bel-Abbes,fire
28.7,85,17.8,0.13,77.7,4.0,263.8,11.5,20.8,25.8,7,Bejaia,not fire
36.3,73,23.1,0.91,93.6,28.0,295.7,14.1,30.4,47.7,8,Sidi Bel-Abbes,fire
28.0,22,13.1,0.16,89.5,41.4,203.2,13.4,43.0,53.4,9,Sidi Bel-Abbes,fire
31.4,32,14.0,0.51,92.0,32.8,216.4,13.8,37.6,51.8,7,Sidi Bel-Abbes,fire
34.5,44,12.1,0.59,93.6,47.3,261.2,14.6,47.2,60.0,9,Sidi Bel-Abbes,fire
36.3,55,9.9,0.36,83.3,53.9,233.2,10.4,51.5,53.1,6,Sidi Bel-Abbes,fire
26.0,64,11.8,0.18,82.8,10.8,270.3,12.6,32.1,39.8,8,Bejaia,not fire
30.3,42,8.9,0.12,96.0,54.9,232.0,13.4,56.3,60.0,6,Sidi Bel-Abbes,fire
29.6,58,15.2,0.02,87.4,35.2,102.6,14.2,28.3,40.2,9,Bejaia,fire
28.7,41,11.2,0.18,93.1,47.1,223.1,11.0,42.1,48.2,8,Bejaia,not fire
40.8,44,16.2,0.53,90.9,53.1,246.9,14.2,56.2,60.0,8,Sidi Bel-Abbes,fire
34.0,30,7.2,1.39,95.0,61.8,174.6,12.4,47.3,60.0,9,Bejaia,fire
25.7,38,16.7,1.02,89.5,21.3,156.4,14.0,28.9,39.4,8,Sidi Bel-Abbes,not fire
36.6,31,19.2,0.73,96.0,66.7,281.2,11.2,59.1,60.0,9,Bejaia,fire
42.0,37,5.0,0.78,96.0,67.0,368.7,11.4,67.1,60.0,8,Bejaia,fire
37.2,74,16.9,0.55,89.2,42.9,296.0,18.4,51.5,60.0,9,Sidi Bel-Abbes,fire
24.4,38,21.1,0.15,85.3,18.1,190.2,14.1,28.1,44.2,8,Sidi Bel-Abbes,fire
29.6,100,9.0,1.19,76.0,1.0,258.8,8.8,28.8,24.6,6,Sidi Bel-Abbes,not fire
38.3,64,23.4,0.56,92.5,50.7,263.2,17.0,50.3,60.0,8,Sidi Bel-Abbes,fire
28.5,58,17.1,0.41,92.4,18.3,203.5,15.0,20.3,29.0,6,Bejaia,not fire
34.2,40,11.5,0.06,96.0,53.3,212.8,15.4,45.8,60.0,8,Sidi Bel-Abbes,fire
35.9,68,14.7,0.3,82.6,24.3,188.8,10.2,35.0,35.1,7,Bejaia,not fire
27.4,45,17.8,0.31,86.2,40.9,214.2,15.4,40.4,60.0,8,Bejaia,fire
31.7,57,15.4,1.0,82.4,22.5,256.4,14.0,35.7,55.0,6,Bejaia,fire
22.0,100,17.7,0.4,69.8,1.0,201.2,12.0,25.6,28.1,6,Bejaia,not fire
